Order,Family,Species,Mainly distributed in,% Distribution in MTZ
Apodiformes,Apodidae,Aeronautes saxatalis,Nearctic region,12%
Apodiformes,Apodidae,Chaetura cinereiventris,South Brazilian dominion,1%
Apodiformes,Apodidae,Chaetura pelagica,Nearctic region,0%
Apodiformes,Apodidae,Chaetura vauxi,Nearctic region,0%
Apodiformes,Apodidae,Cypseloides cryptus,Boreal Brazilian dominion,45%
Apodiformes,Apodidae,Cypseloides niger,Nearctic region,47%
Apodiformes,Apodidae,Cypseloides storeri,Mexican Transition Zone,100%
Apodiformes,Apodidae,Panyptila cayennensis,Boreal Brazilian dominion,3%
Apodiformes,Apodidae,Panyptila sanctihieronymi,Mexican Transition Zone,100%
Apodiformes,Apodidae,Streptoprocne rutila,Mexican Transition Zone,44%
Apodiformes,Apodidae,Streptoprocne semicollaris,Mexican Transition Zone,100%
Apodiformes,Apodidae,Streptoprocne zonaris,South Brazilian dominion,7%
Apodiformes,Trochilidae,Abeillia abeillei,Mexican Transition Zone,100%
Apodiformes,Trochilidae,Amazilia amabilis,Pacific dominion,14%
Apodiformes,Trochilidae,Amazilia beryllina,Mexican Transition Zone,100%
Apodiformes,Trochilidae,Amazilia candida,Mesoamerican dominion,100%
Apodiformes,Trochilidae,Amazilia cyanocephala,Mexican Transition Zone,100%
Apodiformes,Trochilidae,Amazilia cyanura,Mexican Transition Zone,82%
Apodiformes,Trochilidae,Amazilia luciae,Mexican Transition Zone,100%
Apodiformes,Trochilidae,Amazilia rutila,Mesoamerican dominion,97%
Apodiformes,Trochilidae,Amazilia saucerrottei,Pacific dominion,10%
Apodiformes,Trochilidae,Amazilia violiceps,Mexican Transition Zone,91%
Apodiformes,Trochilidae,Amazilia viridifrons,Mexican Transition Zone,100%
Apodiformes,Trochilidae,Amazilia yucatanensis,Mesoamerican dominion,87%
Apodiformes,Trochilidae,Anthracothorax prevostii,Mesoamerican dominion,85%
Apodiformes,Trochilidae,Anthracothorax veraguensis,Pacific dominion,0%
Apodiformes,Trochilidae,Archilochus alexandri,Nearctic region,13%
Apodiformes,Trochilidae,Archilochus colubris,Nearctic region,0%
Apodiformes,Trochilidae,Atthis ellioti,Mexican Transition Zone,100%
Apodiformes,Trochilidae,Atthis heloisa,Mexican Transition Zone,100%
Apodiformes,Trochilidae,Calothorax lucifer,Mexican Transition Zone,87%
Apodiformes,Trochilidae,Calothorax pulcher,Mexican Transition Zone,100%
Apodiformes,Trochilidae,Calypte anna,Nearctic region,13%
Apodiformes,Trochilidae,Calypte costae,Nearctic region,30%
Apodiformes,Trochilidae,Campylopterus curvipennis,Mesoamerican dominion,100%
Apodiformes,Trochilidae,Campylopterus hemileucurus,Mexican Transition Zone,86%
Apodiformes,Trochilidae,Campylopterus rufus,Mexican Transition Zone,100%
Apodiformes,Trochilidae,Chalybura buffonii,Pacific dominion,0%
Apodiformes,Trochilidae,Chalybura urochrysia,Pacific dominion,24%
Apodiformes,Trochilidae,Chlorostilbon auriceps,Mexican Transition Zone,100%
Apodiformes,Trochilidae,Chlorostilbon canivetii,Mesoamerican dominion,97%
Apodiformes,Trochilidae,Chlorostilbon russatus,Pacific dominion,0%
Apodiformes,Trochilidae,Chlorostilbon swainsonii,Antillean subregion,0%
Apodiformes,Trochilidae,Colibri delphinae,Boreal Brazilian dominion,8%
Apodiformes,Trochilidae,Colibri thalassinus,Mexican Transition Zone,40%
Apodiformes,Trochilidae,Cynanthus latirostris,Mexican Transition Zone,96%
Apodiformes,Trochilidae,Cynanthus sordidus,Mexican Transition Zone,100%
Apodiformes,Trochilidae,Doricha eliza,Mesoamerican dominion,100%
Apodiformes,Trochilidae,Doricha enicura,Mexican Transition Zone,100%
Apodiformes,Trochilidae,Elvira chionura,Pacific dominion,0%
Apodiformes,Trochilidae,Elvira cupreiceps,Pacific dominion,0%
Apodiformes,Trochilidae,Eugenes fulgens,Mexican Transition Zone,81%
Apodiformes,Trochilidae,Eupherusa cyanophrys,Mexican Transition Zone,100%
Apodiformes,Trochilidae,Eupherusa eximia,Mexican Transition Zone,89%
