speciesKey,OBJECTID,binomial_BL,binomial_jetz,label,binomial_gbif,PatchClade,Hackett_FineClades,Hackett_CoarseClades,BLFamilyEnglish,English,presence,origin,seasonal,dist_comm,Shape_Length,Shape_Area,IOCOrder,BLFamilyLatin,genus,species,PassNonPass,OscSubOsc,EnMexico,binomial_mx,Nombre.Español,Nombre.Inglés,Endemismo,Residente,Transitoria,Migratoria,Endemica,Mountain_ID,Min_elevation,Max_elevation,Continent,Mountain.Range,Uplift_Start,Mountains,Path_raster,Path_occ,SDM_done,OCC_done,Palearctic,Northern.Nearctic,Nearctic.Region,Mexican.Transition.Zone,Mesoamerican.dominion,Pacific.dominion,Antillean.subregion,Boreal.Brazilian.dominion,South.Brazilian.dominion,South.eastern.Amazonian.dominion,Chacoan.dominion,Parana.dominion,South.American.Transition.Zone,Afrotropical,Madagascan,Sino.Japanese,Oriental,Saharo.Arabian,Australian,Andean.region,Australasia,Ocean,Nearctic_TOTAL,Neotropics_TOTAL,Palearctic_REALM,Paleotropical_REALM,Austral,Mexican_TOTAL,Subregion,Realm,ZTM_end
2490483,58,Caryothraustes erythromelas,Periporphyrus erythromelas,Periporphyrus_erythromelas,Periporphyrus erythromelas,P12,"Cardinals, Allies","Cardinals, Allies","Grosbeaks, saltators and allies",Red-and-black Grosbeak,1,1,1, ,101.6165636,104.9809874,Passeriformes,Cardinalidae,Periporphyrus,erythromelas,PASSERIFORMES,Passeri,Otro lado,not_in_mx,not_in_mx,not_in_mx,not_in_mx,not_in_mx,not_in_mx,not_in_mx,not_in_mx,405,0,1000,Latin America and the Caribbean,Northern South America,100,Mountain,D:/R_spatial/output/birds_sdm/thresholded/2490483_Periporphyrus_erythromelas.tif,D:/R_spatial/output/occ_birds_mtz/2490483_Periporphyrus_erythromelas.RDS,done,done,0,0,0,0,0,0.002358491,0,0.634433962,0.113207547,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Boreal.Brazilian.dominion,Neotropics_TOTAL,5
2484428,116,Anumara forbesi,Curaeus forbesi,Curaeus_forbesi,Curaeus forbesi,P21,New World Blackbirds,"New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies",New World blackbirds,Forbes's Blackbird,1,1,1, ,17.74957302,6.802715418,Passeriformes,Icteridae,Curaeus,forbesi,PASSERIFORMES,Passeri,Otro lado,not_in_mx,not_in_mx,not_in_mx,not_in_mx,not_in_mx,not_in_mx,not_in_mx,not_in_mx,NA,NA,NA,NA,NA,NA,No,D:/R_spatial/output/birds_sdm/thresholded/2484428_Curaeus_forbesi.tif,D:/R_spatial/output/occ_birds_mtz/2484428_Curaeus_forbesi.RDS,done,done,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Chacoan.dominion,Neotropics_TOTAL,2
6091860,161,Peucaea sumichrasti,Aimophila sumichrasti,Aimophila_sumichrasti,Peucaea sumichrasti,P20b,"Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies","Buntings, American sparrows and allies",Cinnamon-tailed Sparrow,1,1,1, ,11.10394958,0.604499205,Passeriformes,Emberizidae,Peucaea,sumichrasti,PASSERIFORMES,Passeri,México,Peucaea sumichrasti,Zacatonero Istmeño,Cinnamon-tailed Sparrow,Endémica,Residente,No Transitoria,No Migratoria,Endémica,304,0,900,North-America,Mexico,100,Mountain,D:/R_spatial/output/birds_sdm/thresholded/6091860_Aimophila_sumichrasti.tif,D:/R_spatial/output/occ_birds_mtz/6091860_Aimophila_sumichrasti.RDS,done,done,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Mexican.Transition.Zone,Neotropics_TOTAL,7
6091860,161,Peucaea sumichrasti,Aimophila sumichrasti,Aimophila_sumichrasti,Peucaea sumichrasti,P20b,"Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies","Buntings, American sparrows and allies",Cinnamon-tailed Sparrow,1,1,1, ,11.10394958,0.604499205,Passeriformes,Emberizidae,Peucaea,sumichrasti,PASSERIFORMES,Passeri,México,Peucaea sumichrasti,Zacatonero Istmeño,Cinnamon-tailed Sparrow,Endémica,Residente,No Transitoria,No Migratoria,Endémica,401,0,900,Latin America and the Caribbean,Sierra Madre de Chiapas,20,Mountain,D:/R_spatial/output/birds_sdm/thresholded/6091860_Aimophila_sumichrasti.tif,D:/R_spatial/output/occ_birds_mtz/6091860_Aimophila_sumichrasti.RDS,done,done,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Mexican.Transition.Zone,Neotropics_TOTAL,7
2491610,162,Xenospiza baileyi,Xenospiza baileyi,Xenospiza_baileyi,Xenospiza baileyi,P20b,"Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies","Buntings, American sparrows and allies",Sierra Madre Sparrow,3,1,1, ,1.157789798,0.020471755,Passeriformes,Emberizidae,Xenospiza,baileyi,PASSERIFORMES,Passeri,México,Xenospiza baileyi,Gorrión Serrano,Sierra Madre Sparrow,Endémica,Residente,No Transitoria,No Migratoria,Endémica,304,2285,3050,North-America,Mexico,100,Mountain,D:/R_spatial/output/birds_sdm/thresholded/2491610_Xenospiza_baileyi.tif,D:/R_spatial/output/occ_birds_mtz/2491610_Xenospiza_baileyi.RDS,done,done,0,0,0.083333333,0.916666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0.916666667,0,0,0,0.916666667,Mexican.Transition.Zone,Neotropics_TOTAL,7
2491610,163,Xenospiza baileyi,Xenospiza baileyi,Xenospiza_baileyi,Xenospiza baileyi,P20b,"Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies","Buntings, American sparrows and allies",Sierra Madre Sparrow,4,1,1, ,1.940745249,0.015450483,Passeriformes,Emberizidae,Xenospiza,baileyi,PASSERIFORMES,Passeri,México,Xenospiza baileyi,Gorrión Serrano,Sierra Madre Sparrow,Endémica,Residente,No Transitoria,No Migratoria,Endémica,304,2285,3050,North-America,Mexico,100,Mountain,D:/R_spatial/output/birds_sdm/thresholded/2491610_Xenospiza_baileyi.tif,D:/R_spatial/output/occ_birds_mtz/2491610_Xenospiza_baileyi.RDS,done,done,0,0,0.083333333,0.916666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0.916666667,0,0,0,0.916666667,Mexican.Transition.Zone,Neotropics_TOTAL,7
2491610,164,Xenospiza baileyi,Xenospiza baileyi,Xenospiza_baileyi,Xenospiza baileyi,P20b,"Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies","Buntings, American sparrows and allies",Sierra Madre Sparrow,1,1,1, ,1.646803651,0.014760664,Passeriformes,Emberizidae,Xenospiza,baileyi,PASSERIFORMES,Passeri,México,Xenospiza baileyi,Gorrión Serrano,Sierra Madre Sparrow,Endémica,Residente,No Transitoria,No Migratoria,Endémica,304,2285,3050,North-America,Mexico,100,Mountain,D:/R_spatial/output/birds_sdm/thresholded/2491610_Xenospiza_baileyi.tif,D:/R_spatial/output/occ_birds_mtz/2491610_Xenospiza_baileyi.RDS,done,done,0,0,0.083333333,0.916666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0.916666667,0,0,0,0.916666667,Mexican.Transition.Zone,Neotropics_TOTAL,7
2479623,174,Amazona diadema,Amazona autumnalis,Amazona_autumnalis,Amazona autumnalis,Psittacidae2,Parrots,Parrots,Parrots,Red-lored Amazon,1,1,1, ,22.86418374,20.76816648,Psittaciformes,Psittacidae,Amazona,autumnalis,NONPASSERIFORMES,NONPASSERIFORMES,México,Amazona autumnalis,Loro Cachetes Amarillos,Red-lored Parrot,No,Residente,No Transitoria,No Migratoria,No,404,0,1100,Latin America and the Caribbean,Andes,25,Mountain,D:/R_spatial/output/birds_sdm/thresholded/2479623_Amazona_autumnalis.tif,D:/R_spatial/output/occ_birds_mtz/2479623_Amazona_autumnalis.RDS,done,done,0,0,0,0.149870801,0.299741602,0.333333333,0,0.11369509,0.103359173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.449612403,Pacific.dominion,Neotropics_TOTAL,7
2479623,174,Amazona diadema,Amazona autumnalis,Amazona_autumnalis,Amazona autumnalis,Psittacidae2,Parrots,Parrots,Parrots,Red-lored Amazon,1,1,1, ,22.86418374,20.76816648,Psittaciformes,Psittacidae,Amazona,autumnalis,NONPASSERIFORMES,NONPASSERIFORMES,México,Amazona autumnalis,Loro Cachetes Amarillos,Red-lored Parrot,No,Residente,No Transitoria,No Migratoria,No,404,0,500,Latin America and the Caribbean,Andes,25,Mountain,D:/R_spatial/output/birds_sdm/thresholded/2479623_Amazona_autumnalis.tif,D:/R_spatial/output/occ_birds_mtz/2479623_Amazona_autumnalis.RDS,done,done,0,0,0,0.149870801,0.299741602,0.333333333,0,0.11369509,0.103359173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.449612403,Pacific.dominion,Neotropics_TOTAL,7
2479623,174,Amazona diadema,Amazona autumnalis,Amazona_autumnalis,Amazona autumnalis,Psittacidae2,Parrots,Parrots,Parrots,Red-lored Amazon,1,1,1, ,22.86418374,20.76816648,Psittaciformes,Psittacidae,Amazona,autumnalis,NONPASSERIFORMES,NONPASSERIFORMES,México,Amazona autumnalis,Loro Cachetes Amarillos,Red-lored Parrot,No,Residente,No Transitoria,No Migratoria,No,404,100,400,Latin America and the Caribbean,Andes,25,Mountain,D:/R_spatial/output/birds_sdm/thresholded/2479623_Amazona_autumnalis.tif,D:/R_spatial/output/occ_birds_mtz/2479623_Amazona_autumnalis.RDS,done,done,0,0,0,0.149870801,0.299741602,0.333333333,0,0.11369509,0.103359173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.449612403,Pacific.dominion,Neotropics_TOTAL,7
2479623,174,Amazona diadema,Amazona autumnalis,Amazona_autumnalis,Amazona autumnalis,Psittacidae2,Parrots,Parrots,Parrots,Red-lored Amazon,1,1,1, ,22.86418374,20.76816648,Psittaciformes,Psittacidae,Amazona,autumnalis,NONPASSERIFORMES,NONPASSERIFORMES,México,Amazona autumnalis,Loro Cachetes Amarillos,Red-lored Parrot,No,Residente,No Transitoria,No Migratoria,No,401,0,1100,Latin America and the Caribbean,Sierra Madre de Chiapas,20,Mountain,D:/R_spatial/output/birds_sdm/thresholded/2479623_Amazona_autumnalis.tif,D:/R_spatial/output/occ_birds_mtz/2479623_Amazona_autumnalis.RDS,done,done,0,0,0,0.149870801,0.299741602,0.333333333,0,0.11369509,0.103359173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.449612403,Pacific.dominion,Neotropics_TOTAL,7
2479623,174,Amazona diadema,Amazona autumnalis,Amazona_autumnalis,Amazona autumnalis,Psittacidae2,Parrots,Parrots,Parrots,Red-lored Amazon,1,1,1, ,22.86418374,20.76816648,Psittaciformes,Psittacidae,Amazona,autumnalis,NONPASSERIFORMES,NONPASSERIFORMES,México,Amazona autumnalis,Loro Cachetes Amarillos,Red-lored Parrot,No,Residente,No Transitoria,No Migratoria,No,304,0,1100,North-America,Mexico,100,Mountain,D:/R_spatial/output/birds_sdm/thresholded/2479623_Amazona_autumnalis.tif,D:/R_spatial/output/occ_birds_mtz/2479623_Amazona_autumnalis.RDS,done,done,0,0,0,0.149870801,0.299741602,0.333333333,0,0.11369509,0.103359173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.449612403,Pacific.dominion,Neotropics_TOTAL,7
2479623,174,Amazona diadema,Amazona autumnalis,Amazona_autumnalis,Amazona autumnalis,Psittacidae2,Parrots,Parrots,Parrots,Red-lored Amazon,1,1,1, ,22.86418374,20.76816648,Psittaciformes,Psittacidae,Amazona,autumnalis,NONPASSERIFORMES,NONPASSERIFORMES,México,Amazona autumnalis,Loro Cachetes Amarillos,Red-lored Parrot,No,Residente,No Transitoria,No Migratoria,No,402,0,1100,Latin America and the Caribbean,Central America,25,Mountain,D:/R_spatial/output/birds_sdm/thresholded/2479623_Amazona_autumnalis.tif,D:/R_spatial/output/occ_birds_mtz/2479623_Amazona_autumnalis.RDS,done,done,0,0,0,0.149870801,0.299741602,0.333333333,0,0.11369509,0.103359173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.449612403,Pacific.dominion,Neotropics_TOTAL,7
5228612,225,Chaetura andrei,Chaetura vauxi,Chaetura_vauxi,Chaetura vauxi,Apodidae,"Swifts, Treeswifts","Swifts, Treeswifts",Swifts,Vaux's Swift,1,1,1, ,31.86782636,6.698794665,Apodiformes,Apodidae,Chaetura,vauxi,NONPASSERIFORMES,NONPASSERIFORMES,México,Chaetura vauxi,Vencejo de Vaux,Vaux's Swift,No,Residente,Transitoria,No Migratoria,No,404,0,3000,Latin America and the Caribbean,Andes,25,Mountain,D:/R_spatial/output/birds_sdm/thresholded/5228612_Chaetura_vauxi.tif,D:/R_spatial/output/occ_birds_mtz/5228612_Chaetura_vauxi.RDS,done,done,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,NA,NA,#¿NOMBRE?
5228612,225,Chaetura andrei,Chaetura vauxi,Chaetura_vauxi,Chaetura vauxi,Apodidae,"Swifts, Treeswifts","Swifts, Treeswifts",Swifts,Vaux's Swift,1,1,1, ,31.86782636,6.698794665,Apodiformes,Apodidae,Chaetura,vauxi,NONPASSERIFORMES,NONPASSERIFORMES,México,Chaetura vauxi,Vencejo de Vaux,Vaux's Swift,No,Residente,Transitoria,No Migratoria,No,404,0,1000,Latin America and the Caribbean,Andes,25,Mountain,D:/R_spatial/output/birds_sdm/thresholded/5228612_Chaetura_vauxi.tif,D:/R_spatial/output/occ_birds_mtz/5228612_Chaetura_vauxi.RDS,done,done,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,NA,NA,#¿NOMBRE?
5228612,225,Chaetura andrei,Chaetura vauxi,Chaetura_vauxi,Chaetura vauxi,Apodidae,"Swifts, Treeswifts","Swifts, Treeswifts",Swifts,Vaux's Swift,1,1,1, ,31.86782636,6.698794665,Apodiformes,Apodidae,Chaetura,vauxi,NONPASSERIFORMES,NONPASSERIFORMES,México,Chaetura vauxi,Vencejo de Vaux,Vaux's Swift,No,Residente,Transitoria,No Migratoria,No,405,0,3000,Latin America and the Caribbean,Northern South America,100,Mountain,D:/R_spatial/output/birds_sdm/thresholded/5228612_Chaetura_vauxi.tif,D:/R_spatial/output/occ_birds_mtz/5228612_Chaetura_vauxi.RDS,done,done,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,NA,NA,#¿NOMBRE?
5228612,225,Chaetura andrei,Chaetura vauxi,Chaetura_vauxi,Chaetura vauxi,Apodidae,"Swifts, Treeswifts","Swifts, Treeswifts",Swifts,Vaux's Swift,1,1,1, ,31.86782636,6.698794665,Apodiformes,Apodidae,Chaetura,vauxi,NONPASSERIFORMES,NONPASSERIFORMES,México,Chaetura vauxi,Vencejo de Vaux,Vaux's Swift,No,Residente,Transitoria,No Migratoria,No,406,0,3000,Latin America and the Caribbean,Eastern South America,110,Mountain,D:/R_spatial/output/birds_sdm/thresholded/5228612_Chaetura_vauxi.tif,D:/R_spatial/output/occ_birds_mtz/5228612_Chaetura_vauxi.RDS,done,done,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,NA,NA,#¿NOMBRE?
5228612,225,Chaetura andrei,Chaetura vauxi,Chaetura_vauxi,Chaetura vauxi,Apodidae,"Swifts, Treeswifts","Swifts, Treeswifts",Swifts,Vaux's Swift,1,1,1, ,31.86782636,6.698794665,Apodiformes,Apodidae,Chaetura,vauxi,NONPASSERIFORMES,NONPASSERIFORMES,México,Chaetura vauxi,Vencejo de Vaux,Vaux's Swift,No,Residente,Transitoria,No Migratoria,No,401,0,3000,Latin America and the Caribbean,Sierra Madre de Chiapas,20,Mountain,D:/R_spatial/output/birds_sdm/thresholded/5228612_Chaetura_vauxi.tif,D:/R_spatial/output/occ_birds_mtz/5228612_Chaetura_vauxi.RDS,done,done,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,NA,NA,#¿NOMBRE?
5228612,225,Chaetura andrei,Chaetura vauxi,Chaetura_vauxi,Chaetura vauxi,Apodidae,"Swifts, Treeswifts","Swifts, Treeswifts",Swifts,Vaux's Swift,1,1,1, ,31.86782636,6.698794665,Apodiformes,Apodidae,Chaetura,vauxi,NONPASSERIFORMES,NONPASSERIFORMES,México,Chaetura vauxi,Vencejo de Vaux,Vaux's Swift,No,Residente,Transitoria,No Migratoria,No,301,1200,2130,North-America,NA West Coast,200,Mountain,D:/R_spatial/output/birds_sdm/thresholded/5228612_Chaetura_vauxi.tif,D:/R_spatial/output/occ_birds_mtz/5228612_Chaetura_vauxi.RDS,done,done,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,NA,NA,#¿NOMBRE?
5228612,225,Chaetura andrei,Chaetura vauxi,Chaetura_vauxi,Chaetura vauxi,Apodidae,"Swifts, Treeswifts","Swifts, Treeswifts",Swifts,Vaux's Swift,1,1,1, ,31.86782636,6.698794665,Apodiformes,Apodidae,Chaetura,vauxi,NONPASSERIFORMES,NONPASSERIFORMES,México,Chaetura vauxi,Vencejo de Vaux,Vaux's Swift,No,Residente,Transitoria,No Migratoria,No,304,0,3000,North-America,Mexico,100,Mountain,D:/R_spatial/output/birds_sdm/thresholded/5228612_Chaetura_vauxi.tif,D:/R_spatial/output/occ_birds_mtz/5228612_Chaetura_vauxi.RDS,done,done,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,NA,NA,#¿NOMBRE?
5228612,225,Chaetura andrei,Chaetura vauxi,Chaetura_vauxi,Chaetura vauxi,Apodidae,"Swifts, Treeswifts","Swifts, Treeswifts",Swifts,Vaux's Swift,1,1,1, ,31.86782636,6.698794665,Apodiformes,Apodidae,Chaetura,vauxi,NONPASSERIFORMES,NONPASSERIFORMES,México,Chaetura vauxi,Vencejo de Vaux,Vaux's Swift,No,Residente,Transitoria,No Migratoria,No,402,700,3000,Latin America and the Caribbean,Central America,25,Mountain,D:/R_spatial/output/birds_sdm/thresholded/5228612_Chaetura_vauxi.tif,D:/R_spatial/output/occ_birds_mtz/5228612_Chaetura_vauxi.RDS,done,done,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,NA,NA,#¿NOMBRE?
5228612,226,Chaetura vauxi,Chaetura vauxi,Chaetura_vauxi,Chaetura vauxi,Apodidae,"Swifts, Treeswifts","Swifts, Treeswifts",Swifts,Vaux's Swift,1,1,2, ,327.4413551,149.5196902,Apodiformes,Apodidae,Chaetura,vauxi,NONPASSERIFORMES,NONPASSERIFORMES,México,Chaetura vauxi,Vencejo de Vaux,Vaux's Swift,No,Residente,Transitoria,No Migratoria,No,404,0,3000,Latin America and the Caribbean,Andes,25,Mountain,D:/R_spatial/output/birds_sdm/thresholded/5228612_Chaetura_vauxi.tif,D:/R_spatial/output/occ_birds_mtz/5228612_Chaetura_vauxi.RDS,done,done,0,0.217755444,0.782244556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Nearctic.Region,Nearctic_TOTAL,2
5228612,226,Chaetura vauxi,Chaetura vauxi,Chaetura_vauxi,Chaetura vauxi,Apodidae,"Swifts, Treeswifts","Swifts, Treeswifts",Swifts,Vaux's Swift,1,1,2, ,327.4413551,149.5196902,Apodiformes,Apodidae,Chaetura,vauxi,NONPASSERIFORMES,NONPASSERIFORMES,México,Chaetura vauxi,Vencejo de Vaux,Vaux's Swift,No,Residente,Transitoria,No Migratoria,No,404,0,1000,Latin America and the Caribbean,Andes,25,Mountain,D:/R_spatial/output/birds_sdm/thresholded/5228612_Chaetura_vauxi.tif,D:/R_spatial/output/occ_birds_mtz/5228612_Chaetura_vauxi.RDS,done,done,0,0.217755444,0.782244556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Nearctic.Region,Nearctic_TOTAL,2
5228612,226,Chaetura vauxi,Chaetura vauxi,Chaetura_vauxi,Chaetura vauxi,Apodidae,"Swifts, Treeswifts","Swifts, Treeswifts",Swifts,Vaux's Swift,1,1,2, ,327.4413551,149.5196902,Apodiformes,Apodidae,Chaetura,vauxi,NONPASSERIFORMES,NONPASSERIFORMES,México,Chaetura vauxi,Vencejo de Vaux,Vaux's Swift,No,Residente,Transitoria,No Migratoria,No,405,0,3000,Latin America and the Caribbean,Northern South America,100,Mountain,D:/R_spatial/output/birds_sdm/thresholded/5228612_Chaetura_vauxi.tif,D:/R_spatial/output/occ_birds_mtz/5228612_Chaetura_vauxi.RDS,done,done,0,0.217755444,0.782244556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Nearctic.Region,Nearctic_TOTAL,2
